ID,nom,departement,ville,CP,type
0782252Z,Ecole maternelle Maréchal Leclerc,78,Le-Pecq,78230,primaire
0782253A,Ecole maternelle Centre,78,Le-Vésinet,78110,primaire
0782254B,Ecole maternelle Les Charmettes,78,Le-Vésinet,78110,primaire
0782255C,Ecole maternelle Princesse,78,Le-Vésinet,78110,primaire
0782276A,Ecole maternelle Le Petit Prince,78,Versailles,78000,primaire
0782277B,Ecole maternelle Les Marmousets,78,Versailles,78000,primaire
0782278C,Ecole maternelle Les Trois Pommiers,78,Versailles,78000,primaire
0782279D,Ecole maternelle Vieux Versailles,78,Versailles,78000,primaire
0782280E,Ecole maternelle Comtesse de Ségur,78,Versailles,78000,primaire
0782281F,Ecole maternelle Honoré de Balzac,78,Versailles,78000,primaire
0782282G,Ecole maternelle Les Lutins,78,Versailles,78000,primaire
0782283H,Ecole maternelle Pierre Corneille,78,Versailles,78000,primaire
0782286L,Ecole maternelle Vauban,78,Versailles,78000,primaire
0782287M,Ecole maternelle Le Coteau,78,Viroflay,78220,primaire
0782288N,Ecole maternelle Le Colombier,78,Viroflay,78220,primaire
0782289P,Ecole maternelle Jacques Toutain,78,Jouy-en-Josas,78350,primaire
0782292T,Ecole maternelle Jacques Prévert,78,Chevreuse,78460,primaire
0782331K,Ecole maternelle Charles Perrault,78,Le-Chesnay,78150,primaire
0782332L,Ecole maternelle Jean de La Fontaine,78,Le-Chesnay,78150,primaire
0782333M,Ecole maternelle Madame René Coty,78,Les-Clayes-sous-Bois,78340,primaire
0782334N,Ecole maternelle Nouveau Cottage,78,Les-Clayes-sous-Bois,78340,primaire
0782335P,Ecole maternelle Louis Pergaud,78,Fontenay-le-Fleury,78330,primaire
0782336R,Ecole maternelle Paul Langevin,78,Guyancourt,78280,primaire
0782337S,Ecole maternelle Léon Jouannet,78,Saint-Cyr-l'École,78210,primaire
0782338T,Ecole maternelle Jean Macé,78,Saint-Cyr-l'École,78210,primaire
0782339U,Groupe scolaire Jean Jaurès,78,Trappes,78190,primaire
0782340V,Ecole maternelle Irène Joliot-Curie,78,Trappes,78190,primaire
0782341W,Ecole maternelle Paul Langevin,78,Trappes,78190,primaire
